QStateAction{x=4, y=3, action=2, gems=[true, true, true, true, true, true, true, true, true]} = -0.8
QStateAction{x=3, y=2, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -2.3332725
QStateAction{x=1, y=0, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -9.237295
QStateAction{x=2, y=2, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -5.6
QStateAction{x=3, y=1, action=2, gems=[false, true, true, false, false, false, false, false, false]} = -1.4
QStateAction{x=2, y=1, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -7.3428674
QStateAction{x=4, y=4, action=3, gems=[false, false, true, false, false, true, false, false, false]} = -5.2000003
QStateAction{x=2, y=0, action=2, gems=[false, true, false, false, false, false, true, false, false]} = -5.5
QStateAction{x=4, y=1, action=3, gems=[false, true, false, false, false, false, true, false, false]} = -2.5
QStateAction{x=0, y=1, action=3, gems=[false, false, true, false, false, true, true, true, true]} = -4.0
QStateAction{x=4, y=1, action=3, gems=[false, false, true, false, false, true, false, true, true]} = -5.907015
QStateAction{x=1, y=1, action=0, gems=[false, false, true, false, false, true, true, true, true]} = -3.9
QStateAction{x=3, y=2, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=0, action=1, gems=[false, false, true, false, false, true, false, false, true]} = -3.9
QStateAction{x=3, y=2, action=2, gems=[false, false, true, false, false, true, false, false, true]} = 0.90000004
QStateAction{x=0, y=0, action=1, gems=[false, false, true, false, false, true, true, true, true]} = -4.1
QStateAction{x=3, y=1, action=0, gems=[false, false, true, false, false, true, false, false, true]} = -3.385
QStateAction{x=2, y=2, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=1, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=3, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=3, action=1, gems=[false, false, true, false, false, true, true, false, true]} = -22.2
QStateAction{x=1, y=0, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=0, action=2, gems=[false, true, false, false, false, true, false, false, false]} = -3.8
QStateAction{x=0, y=4, action=1, gems=[false, true, false, false, false, true, true, false, true]} = 25.5
QStateAction{x=1, y=0, action=2, gems=[true, true, true, true, true, true, true, true, true]} = 1.1363643
QStateAction{x=2, y=1, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -5.3560004
QStateAction{x=3, y=2, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -2.7
QStateAction{x=1, y=4, action=1, gems=[false, true, true, false, false, true, false, false, false]} = -2.2
QStateAction{x=2, y=0, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -3.6301725
QStateAction{x=4, y=3, action=2, gems=[false, false, true, false, false, true, false, false, false]} = -5.537
QStateAction{x=4, y=0, action=2, gems=[false, true, false, false, false, false, true, false, false]} = -2.6000001
QStateAction{x=4, y=0, action=2, gems=[false, false, true, false, false, true, false, true, true]} = -5.5
QStateAction{x=4, y=2, action=0, gems=[false, false, true, false, false, true, false, false, true]} = -4.2000003
QStateAction{x=1, y=1, action=1, gems=[false, false, true, false, false, true, true, true, true]} = -0.477
QStateAction{x=4, y=3, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=3, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=1, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=2, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=0, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=4, action=0, gems=[true, true, true, true, true, true, true, true, true]} = -1.1
QStateAction{x=1, y=0, action=1, gems=[true, true, true, true, true, true, true, true, true]} = -0.3
QStateAction{x=1, y=1, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -3.9
QStateAction{x=2, y=2, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -5.4465003
QStateAction{x=0, y=2, action=1, gems=[false, true, true, false, false, true, false, false, false]} = -23.2
QStateAction{x=1, y=0, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -10.094976
QStateAction{x=4, y=4, action=3, gems=[false, true, false, false, false, false, true, false, true]} = -1.6
QStateAction{x=0, y=1, action=2, gems=[true, true, true, false, false, true, false, false, false]} = -3.5
QStateAction{x=1, y=0, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=2, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=4, action=3, gems=[false, true, false, false, false, false, true, false, false]} = -4.5
QStateAction{x=3, y=3, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=3, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=2, gems=[false, false, true, false, false, true, true, false, true]} = 3.632457
QStateAction{x=0, y=0, action=1, gems=[false, false, true, false, false, true, true, false, true]} = -2.0
QStateAction{x=1, y=1, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=0, action=2, gems=[false, true, false, false, false, true, false, false, false]} = -4.6
QStateAction{x=2, y=4, action=0, gems=[false, true, true, false, false, true, false, false, true]} = -1.3000001
QStateAction{x=1, y=4, action=3, gems=[false, true, true, false, false, true, false, false, true]} = 3.4
QStateAction{x=0, y=4, action=1, gems=[false, true, false, false, false, false, false, false, true]} = -3.0
QStateAction{x=2, y=1, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -7.6515
QStateAction{x=1, y=0, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -9.5
QStateAction{x=2, y=3, action=0, gems=[false, true, true, false, false, false, true, false, false]} = 3.604499
QStateAction{x=1, y=1, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -10.077543
QStateAction{x=2, y=4, action=0, gems=[false, true, true, false, false, true, false, false, false]} = -4.177
QStateAction{x=2, y=1, action=0, gems=[true, false, true, false, false, true, true, true, true]} = 0.90000004
QStateAction{x=2, y=2, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -1.8145001
QStateAction{x=1, y=4, action=3, gems=[false, true, true, false, false, true, false, false, false]} = -22.2
QStateAction{x=0, y=1, action=1, gems=[true, true, true, false, false, true, false, false, false]} = 0.90000004
QStateAction{x=0, y=2, action=3, gems=[true, true, true, false, false, true, false, false, false]} = -3.8
QStateAction{x=1, y=1, action=1, gems=[false, true, true, true, true, true, true, true, true]} = 2.4880612
QStateAction{x=2, y=1, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=3, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=4, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=3, action=2, gems=[false, true, false, false, false, false, true, false, false]} = -4.59
QStateAction{x=2, y=3, action=0, gems=[false, true, true, false, false, false, true, false, true]} = 3.1245
QStateAction{x=3, y=4, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=2, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=1, action=1, gems=[false, false, true, false, false, true, true, false, true]} = -1.2
QStateAction{x=1, y=0, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=1, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=3, gems=[false, false, true, false, false, true, true, false, true]} = -0.90000004
QStateAction{x=0, y=0, action=2, gems=[false, false, true, false, false, true, true, false, true]} = -2.4
QStateAction{x=0, y=0, action=2, gems=[true, true, true, true, true, true, true, true, true]} = -0.09187903
QStateAction{x=3, y=4, action=1, gems=[true, true, true, true, true, true, true, true, true]} = -1.0855
QStateAction{x=0, y=1, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -8.7
QStateAction{x=2, y=3, action=1, gems=[false, false, false, false, false, false, false, false, true]} = 0.90000004
QStateAction{x=1, y=1, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -9.3315
QStateAction{x=1, y=2, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -5.1
QStateAction{x=0, y=0, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -10.277543
QStateAction{x=0, y=2, action=3, gems=[false, true, true, false, false, true, false, false, false]} = -4.1995
QStateAction{x=0, y=2, action=2, gems=[true, true, true, false, false, true, false, false, false]} = -3.6000001
QStateAction{x=2, y=3, action=0, gems=[false, false, true, false, false, false, false, true, true]} = 2.4785001
QStateAction{x=3, y=4, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=1, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=0, action=2, gems=[false, false, true, false, false, true, true, true, true]} = -4.2000003
QStateAction{x=0, y=0, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=3, action=3, gems=[false, true, false, false, false, false, true, false, false]} = -2.1000001
QStateAction{x=2, y=4, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=1, action=1, gems=[false, false, true, false, false, true, true, true, true]} = -22.6465
QStateAction{x=2, y=3, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=1, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=4, action=3, gems=[false, true, true, false, false, false, true, false, false]} = -1.4
QStateAction{x=3, y=1, action=2, gems=[false, true, false, false, false, true, false, false, false]} = -4.7000003
QStateAction{x=0, y=0, action=1, gems=[true, true, true, true, true, true, true, true, true]} = -0.09204539
QStateAction{x=1, y=2, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -4.3515
QStateAction{x=0, y=0, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -8.8
QStateAction{x=2, y=2, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -5.613393
QStateAction{x=1, y=1, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -4.8
QStateAction{x=1, y=3, action=0, gems=[false, true, false, false, false, true, true, false, true]} = -1.9
QStateAction{x=0, y=1, action=2, gems=[false, true, true, false, false, true, false, false, false]} = -6.3040004
QStateAction{x=0, y=3, action=3, gems=[true, true, true, false, false, true, false, false, false]} = -3.7
QStateAction{x=0, y=2, action=4, gems=[false, true, true, false, false, true, false, false, false]} = -2.3483427
QStateAction{x=1, y=1, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=3, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=1, action=0, gems=[false, true, false, false, false, false, true, false, false]} = 3.4
QStateAction{x=2, y=2, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=4, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=4, action=4, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=1, action=2, gems=[false, false, true, false, false, true, true, false, true]} = -2.5
QStateAction{x=1, y=2, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=0, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=3, action=2, gems=[false, true, true, false, false, false, true, false, false]} = -1.3000001
QStateAction{x=3, y=4, action=0, gems=[true, true, true, true, true, true, true, true, true]} = -1.2
QStateAction{x=1, y=3, action=1, gems=[false, true, false, false, false, false, false, false, false]} = -1.8000001
QStateAction{x=2, y=4, action=0, gems=[false, true, false, false, false, false, false, false, false]} = -4.3
QStateAction{x=3, y=2, action=0, gems=[false, true, true, false, false, true, true, false, false]} = -0.90000004
QStateAction{x=2, y=1, action=1, gems=[false, true, true, false, false, true, true, false, false]} = -22.376272
QStateAction{x=3, y=3, action=2, gems=[false, true, true, false, false, true, true, false, false]} = -1.2
QStateAction{x=2, y=2, action=3, gems=[false, true, true, false, false, true, true, false, false]} = -3.1257458
QStateAction{x=1, y=4, action=3, gems=[false, true, false, false, false, false, false, false, false]} = -4.1720004
QStateAction{x=2, y=4, action=0, gems=[false, true, false, false, false, false, false, false, true]} = -3.2
QStateAction{x=0, y=1, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -9.4705
QStateAction{x=0, y=2, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -9.8455
QStateAction{x=1, y=2, action=1, gems=[false, false, true, false, false, false, false, false, false]} = -2.509
QStateAction{x=4, y=2, action=0, gems=[true, true, true, false, false, true, true, false, false]} = -1.8000001
QStateAction{x=1, y=3, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=1, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=4, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=3, action=0, gems=[false, false, true, false, false, false, false, false, false]} = 3.4
QStateAction{x=0, y=2, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=0, gems=[false, false, false, false, false, false, false, false, true]} = -5.3
QStateAction{x=3, y=2, action=3, gems=[true, true, true, false, false, true, true, false, false]} = -22.2
QStateAction{x=1, y=2, action=1, gems=[true, false, true, true, true, true, true, true, true]} = 1.128
QStateAction{x=2, y=2, action=3, gems=[false, false, true, false, false, true, true, false, true]} = -1.733272
QStateAction{x=3, y=2, action=0, gems=[false, true, true, false, false, true, true, false, true]} = -2.873315
QStateAction{x=2, y=1, action=1, gems=[false, true, true, false, false, true, true, false, true]} = -22.2
QStateAction{x=2, y=2, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -2.9090002
QStateAction{x=1, y=0, action=2, gems=[false, false, true, false, false, true, true, false, true]} = -1.1
QStateAction{x=4, y=3, action=0, gems=[false, true, true, false, false, true, true, false, false]} = -0.976
QStateAction{x=3, y=3, action=3, gems=[false, true, true, false, false, true, true, false, false]} = -0.88549995
QStateAction{x=0, y=2, action=1, gems=[false, true, false, false, false, false, false, false, true]} = 2.4
QStateAction{x=1, y=2, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -10.304877
QStateAction{x=1, y=3, action=3, gems=[false, false, false, false, false, false, false, false, true]} = -5.2000003
QStateAction{x=0, y=1, action=2, gems=[false, false, false, false, false, false, false, false, true]} = -8.900001
QStateAction{x=2, y=3, action=0, gems=[false, true, true, false, false, false, false, false, false]} = 3.628
QStateAction{x=3, y=2, action=2, gems=[true, true, true, false, false, true, true, false, false]} = -2.033
QStateAction{x=2, y=3, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=2, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=3, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=1, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=2, action=4, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=1, action=2, gems=[false, false, true, false, false, true, true, false, true]} = -1.4028624
QStateAction{x=2, y=0, action=0, gems=[false, false, true, false, false, true, true, false, true]} = -2.3805
QStateAction{x=3, y=2, action=2, gems=[true, true, true, false, false, true, true, false, true]} = 0.90000004
QStateAction{x=3, y=2, action=1, gems=[false, true, true, false, false, true, true, false, true]} = -0.7
QStateAction{x=2, y=1, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -1.0
QStateAction{x=4, y=0, action=2, gems=[true, true, true, true, true, true, true, true, true]} = -0.6
QStateAction{x=3, y=2, action=2, gems=[false, true, true, false, false, true, true, false, false]} = -0.90000004
QStateAction{x=2, y=0, action=1, gems=[false, true, true, false, false, true, true, false, false]} = -1.2
QStateAction{x=2, y=1, action=3, gems=[false, true, true, false, false, true, true, false, false]} = -1.1
QStateAction{x=1, y=4, action=1, gems=[false, true, false, false, false, false, false, false, true]} = -3.5677574
QStateAction{x=3, y=3, action=3, gems=[true, true, true, false, false, true, true, false, false]} = -2.0
QStateAction{x=0, y=3, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=3, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=2, action=1, gems=[false, false, false, false, false, false, false, true, true]} = 2.4
QStateAction{x=0, y=2, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=2, action=1, gems=[true, false, true, true, false, true, true, true, true]} = -3.3
QStateAction{x=2, y=3, action=3, gems=[false, false, false, false, false, false, false, true, true]} = -2.5
QStateAction{x=1, y=0, action=0, gems=[false, false, true, false, false, true, true, false, true]} = -2.49
QStateAction{x=0, y=2, action=1, gems=[false, false, false, false, false, false, false, false, true]} = -10.270464
QStateAction{x=1, y=3, action=0, gems=[true, true, false, true, true, true, true, true, true]} = -2.3
QStateAction{x=3, y=2, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -1.2712574
QStateAction{x=2, y=0, action=1, gems=[false, true, true, false, false, true, true, false, true]} = -1.1
QStateAction{x=2, y=1, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -1.185855
QStateAction{x=1, y=4, action=0, gems=[false, true, false, false, false, false, false, false, true]} = -2.9
QStateAction{x=2, y=4, action=3, gems=[false, true, false, false, false, true, true, false, true]} = -23.2
QStateAction{x=2, y=2, action=2, gems=[false, false, false, false, false, true, true, false, true]} = 2.4
QStateAction{x=0, y=2, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=4, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=2, y=4, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=3, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=1, y=0, action=1, gems=[false, false, true, false, false, true, true, false, true]} = -2.2809274
QStateAction{x=4, y=2, action=0, gems=[false, true, true, false, false, true, true, false, true]} = -0.9207695
QStateAction{x=1, y=1, action=3, gems=[false, false, true, false, false, true, true, false, true]} = -1.0
QStateAction{x=3, y=2, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -22.328136
QStateAction{x=2, y=0, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -3.009
QStateAction{x=4, y=2, action=4, gems=[true, true, true, true, true, true, true, true, true]} = -3.0375001
QStateAction{x=3, y=4, action=1, gems=[false, true, false, false, false, false, false, false, false]} = -3.6000001
QStateAction{x=2, y=2, action=0, gems=[false, true, false, false, false, false, false, false, false]} = 2.4
QStateAction{x=2, y=3, action=2, gems=[false, true, false, false, false, false, false, false, true]} = -2.7
QStateAction{x=0, y=0, action=2, gems=[false, true, false, false, false, false, false, false, true]} = -4.1
QStateAction{x=2, y=2, action=2, gems=[false, false, true, false, false, false, false, false, false]} = -2.0770001
QStateAction{x=0, y=3, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=4, action=3, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=3, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -1.195
QStateAction{x=1, y=4, action=0, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=3, y=4, action=0, gems=[false, true, false, false, false, false, false, false, false]} = -4.2000003
QStateAction{x=2, y=3, action=1, gems=[false, true, false, false, false, false, false, false, false]} = -5.4
QStateAction{x=2, y=2, action=2, gems=[false, true, true, false, false, false, false, false, false]} = -1.6
QStateAction{x=2, y=4, action=3, gems=[false, true, false, false, false, false, false, false, true]} = -3.4
QStateAction{x=2, y=2, action=1, gems=[false, false, true, false, false, false, false, false, false]} = -2.0
QStateAction{x=1, y=4, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=0, y=3, action=2, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=1, action=0, gems=[false, true, true, false, false, true, true, false, true]} = -22.276
QStateAction{x=4, y=2, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -1.0
QStateAction{x=3, y=0, action=1, gems=[false, true, true, false, false, true, true, false, true]} = -1.7425
QStateAction{x=2, y=0, action=4, gems=[false, true, true, false, false, true, true, false, true]} = -3.2040002
QStateAction{x=3, y=0, action=1, gems=[true, true, true, true, true, true, true, true, true]} = -0.5
QStateAction{x=4, y=2, action=2, gems=[true, true, true, true, true, true, true, true, true]} = -2.6000001
QStateAction{x=2, y=3, action=0, gems=[false, true, false, false, false, false, false, false, false]} = -4.7720003
QStateAction{x=1, y=3, action=3, gems=[false, true, false, false, false, false, false, false, false]} = 2.4
QStateAction{x=4, y=1, action=0, gems=[true, true, true, true, true, true, true, true, true]} = -0.7
QStateAction{x=3, y=0, action=2, gems=[false, true, true, false, false, true, true, false, false]} = -22.639612
QStateAction{x=1, y=3, action=2, gems=[false, false, false, false, false, true, true, false, true]} = -1.7
QStateAction{x=3, y=2, action=0, gems=[false, true, true, false, false, false, false, false, false]} = -1.5
QStateAction{x=4, y=1, action=3, gems=[false, false, false, false, false, false, true, false, false]} = -7.7000003
QStateAction{x=2, y=2, action=0, gems=[false, false, true, false, false, false, false, false, false]} = -2.2
QStateAction{x=1, y=3, action=2, gems=[false, false, false, false, false, false, false, true, true]} = -9.900001
QStateAction{x=1, y=2, action=0, gems=[false, false, false, false, false, true, true, false, true]} = -2.6000001
QStateAction{x=4, y=2, action=2, gems=[true, true, true, false, false, true, true, false, false]} = -1.6
QStateAction{x=2, y=1, action=3, gems=[false, false, true, false, false, true, true, false, true]} = -1.7
QStateAction{x=0, y=4, action=1, gems=[false, false, false, false, false, false, false, false, false]} = 0.0
QStateAction{x=4, y=2, action=3, gems=[false, true, true, false, false, true, true, false, true]} = -0.8
QStateAction{x=4, y=3, action=3, gems=[true, true, true, true, true, true, true, true, true]} = -2.7
QStateAction{x=2, y=4, action=1, gems=[false, true, false, false, false, false, false, false, false]} = -3.1000001
QStateAction{x=2, y=3, action=1, gems=[false, false, true, false, false, false, false, false, true]} = 0.90000004
QStateAction{x=0, y=1, action=1, gems=[false, true, false, false, false, false, false, false, true]} = -4.2000003
QStateAction{x=1, y=2, action=1, gems=[false, false, false, false, false, true, true, false, true]} = -3.6000001
QStateAction{x=1, y=3, action=3, gems=[false, false, false, false, false, true, true, false, true]} = -3.7470002
QStateAction{x=4, y=0, action=2, gems=[false, false, false, false, false, false, true, false, false]} = -8.18399
QStateAction{x=4, y=3, action=3, gems=[true, true, true, false, false, true, true, false, false]} = -1.8520001
QStateAction{x=4, y=0, action=0, gems=[false, true, true, false, false, true, true, false, true]} = -1.5
QStateAction{x=4, y=1, action=2, gems=[false, true, true, false, false, true, true, false, true]} = -0.976
QStateAction{x=4, y=2, action=4, gems=[false, true, true, false, false, true, true, false, true]} = -0.9235
QStateAction{x=3, y=1, action=2, gems=[false, true, true, false, false, true, false, false, false]} = -2.2
QStateAction{x=2, y=2, action=1, gems=[false, true, true, false, false, true, true, true, true]} = 0.2837801
QStateAction{x=3, y=0, action=0, gems=[false, true, true, false, false, true, false, false, true]} = -1.1
QStateAction{x=0, y=2, action=1, gems=[false, true, true, false, false, true, true, false, true]} = -23.2
QStateAction{x=3, y=1, action=2, gems=[false, true, true, false, false, true, false, false, true]} = -0.74213004
QStateAction{x=3, y=3, action=3, gems=[false, true, false, false, false, false, false, false, false]} = -5.9
QStateAction{x=0, y=1, action=1, gems=[false, false, true, false, false, true, false, true, true]} = -9.0555
QStateAction{x=3, y=2, action=1, gems=[false, true, false, false, false, false, false, false, true]} = -3.7
QStateAction{x=2, y=0, action=0, gems=[false, true, false, false, false, false, false, false, true]} = -3.9
QStateAction{x=4, y=2, action=3, gems=[false, false, false, false, false, false, true, false, false]} = -8.0
QStateAction{x=3, y=0, action=0, gems=[false, true, true, false, false, true, false, false, false]} = -3.146
QStateAction{x=4, y=3, action=3, gems=[false, true, true, false, false, true, false, false, false]} = -1.5278575
